id,supported_engines,locations,spec,monthly_cost,numbers_of_node
vultr-dbaas-premium-cc-hp-intel-2-80-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 2048, 'disk': 80}",126,3
vultr-dbaas-startup-cc-hp-intel-2-128-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 128}",72,1
vultr-dbaas-business-cc-hp-intel-2-128-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 128}",120,2
vultr-dbaas-premium-cc-hp-intel-2-128-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 128}",168,3
vultr-dbaas-startup-cc-hp-intel-3-256-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 3, 'ram': 8192, 'disk': 256}",144,1
vultr-dbaas-business-cc-hp-intel-3-256-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 3, 'ram': 8192, 'disk': 256}",240,2
vultr-dbaas-premium-cc-hp-intel-3-256-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 3, 'ram': 8192, 'disk': 256}",336,3
vultr-dbaas-startup-cc-hp-intel-4-384-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 384}",288,1
vultr-dbaas-business-cc-hp-intel-4-384-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 384}",480,2
vultr-dbaas-premium-cc-hp-intel-4-384-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 384}",672,3
vultr-dbaas-startup-cc-hp-intel-6-448-24,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 24576, 'disk': 448}",432,1
vultr-dbaas-business-cc-hp-intel-6-448-24,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 24576, 'disk': 448}",720,2
vultr-dbaas-premium-cc-hp-intel-6-448-24,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 24576, 'disk': 448}",1008,3
vultr-dbaas-startup-cc-hp-intel-8-512-32,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 512}",576,1
vultr-dbaas-business-cc-hp-intel-8-512-32,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 512}",960,2
vultr-dbaas-premium-cc-hp-intel-8-512-32,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 512}",1344,3
vultr-dbaas-startup-cc-hp-intel-12-768-48,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",768,1
vultr-dbaas-business-cc-hp-intel-12-768-48,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",1280,2
vultr-dbaas-premium-cc-hp-intel-12-768-48,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",1792,3
vultr-dbaas-startup-occ-gp-1-30-4,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 4096, 'disk': 30}",90,1
vultr-dbaas-business-occ-gp-1-30-4,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 4096, 'disk': 30}",150,2
vultr-dbaas-premium-occ-gp-1-30-4,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 4096, 'disk': 30}",210,3
