Type,Category,Name,Processor / Cores,GPU,GPU type,Memory,Storage,Bandwidth,Price,,,,,,,,,,
Bare_Metal,CPU,vbm-8c-132gb-v2,"1 x Intel E-2388G
8 cores / 16 threads @ 3.2 GHz",No,N/A,128 GB,1920 GB NVMe,10TB/mo,$350.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-24c-256gb-amd,"1 x AMD EPYC 7443P
24 cores / 48 threads @ 2.9 GHz",No,N/A,256 GB,480 GB SSD,10TB/mo,$725.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-24c-384gb-amd,"1 x AMD EPYC 9254
24 cores / 48 threads @ 2.9 GHz",No,N/A,384 GB,480 GB SSD,10TB/mo,$825.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-32c-755gb-amd,"1 x AMD EPYC 9354P
32 cores / 64 threads @ 3.3 GHz",No,N/A,768 GB,480 GB SSD,10TB/mo,"$1,450.00/mo",,,,,,,,,,
Bare_Metal,CPU,vbm-64c-1536gb-amd,"2 x AMD EPYC 9354
128 cores / 256 threads @ 3.2 GHz",No,N/A,1536 GB,480 GB NVMe,10TB/mo,"$2,925.00/mo",,,,,,,,,,
Bare_Metal,CPU,vbm-128c-2048gb-amd,"2 x AMD EPYC 7713
256 cores / 512 threads @ 2.0 GHz",No,N/A,2048 GB,480 GB SSD,25TB/mo,"$5,500.00/mo",,,,,,,,,,
Bare_Metal,GPU,vbm-72c-480gb-gh200-gpu,"1 x NVIDIA Grace Neoverse V2
72 cores / 72 threads @ 3.1 GHz",Yes,"1 x NVIDIA GH200, 96 GB VRAM",480 GB,960 GB NVMe,25TB/mo,$2.99/hr,,,,,,,,,,
Bare_Metal,GPU,vbm-48c-1024gb-4-a100-gpu,"2 x Intel Gold 6342
96 cores / 192 threads @ 2.8 GHz",Yes,"4 x NVIDIA A100 PCIe, 320 GB VRAM",1024 GB,450 GB SSD,15TB/mo,$9.589/hr,,,,,,,,,,
Bare_Metal,GPU,vbm-256c-2048gb-8-mi300x-gpu,"2 x AMD EPYC 9534
256 cores / 512 threads @ 2.5 GHz",Yes,"8 x AMD MI300X, 192 GB VRAM",2267.5 GB,3576 GB NVMe,10TB/mo,$17.52/hr,,,,,,,,,,
Bare_Metal,GPU,vbm-64c-2048gb-8-l40-gpu,"2 x Intel Gold 6448H
128 cores / 256 threads @ 2.4 GHz",Yes,"8 x NVIDIA L40S, 384 GB VRAM",2048 GB,480 GB SSD,15TB/mo,$13.368/hr,,,,,,,,,,
Bare_Metal,GPU,vbm-112c-2048gb-8-a100-gpu,"2 x Intel Platinum 8480+
224 cores / 448 threads @ 2.0 GHz",Yes,"8 x NVIDIA HGX A100, 640 GB VRAM",2048 GB,960 GB NVMe,15TB/mo,$22.4/hr,,,,,,,,,,
Bare_Metal,GPU,vbm-112c-2048gb-8-h100-gpu,"2 x Intel Platinum 8480+
224 cores / 448 threads @ 2.0 GHz",Yes,"8 x NVIDIA HGX H100, 640 GB VRAM",2048 GB,960 GB NVMe,15TB/mo,$23.92/hr,,,,,,,,,,
